ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,profit_margin
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0,41.9136,0.16
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,498.975,3,0,70.8407,0.3
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0,6.8714,0.47
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,498.975,5,0.45,-39.7425,-0.35625
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164,0.1125
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0,14.1694,0.29
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0,1.9656,0.27
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,498.975,6,0.2,70.8407,0.1
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,0.3125
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0,34.47,0.3
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,498.975,9,0.2,70.8407,0.05
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,498.975,4,0.2,68.3568,0.075
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,0.35
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,70.8407,0.325
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.5,-39.7425,-0.35625
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.5,-3.816,-0.35625
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,498.975,6,0,13.3176,0.02
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0,9.99,0.18
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0,2.4824,0.29
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,0.075
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384,0.325
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0,5.0596,0.26
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0,15.6884,0.26
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,-0.014285714
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,498.975,3,0,70.8407,0.23
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,0.3625
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0,11.7741,0.13
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,498.975,7,0.5,-39.7425,-0.35625
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.5,-7.0532,-0.35625
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,0.125
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,0.3375
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,0.1125
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.5,-5.715,-0.35625
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546,0.225
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,0.3375
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,498.975,7,0.2,70.8407,0.1125
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.5,-39.7425,-0.35625
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,0.3125
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,498.975,3,0.32,-39.7425,-0.088235294
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147,-0.071428571
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564,0.1125
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564,0.1125
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0,3.894,0.05
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616,0.1
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0,19.7714,0.43
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0,8.2062,0.47
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0,8.4784,0.04
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45,3,0,4.95,0.11
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0,6.104,0.28
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0,17.9634,0.47
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0,35.3346,0.47
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0,2.9568,0.48
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0,17.0981,0.19
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0,6.2566,0.41
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,498.975,5,0,70.8407,0.29
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0,52.14,0.25
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0,15.552,0.48
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098,0.022222222
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0,6.9888,0.48
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30,2,0,3.3,0.11
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362,0.3375
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0,0.84,0.5
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0,6.1512,0.44
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612,0.3625
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0,68.9631,0.47
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0,22.3328,0.28
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,-0.071428571
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,498.975,8,0.2,70.8407,0.1
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988,0.375
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0,35.6636,0.47
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731,0.375
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0,8.763,0.46
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,498.975,8,0.2,-39.7425,-0.1375
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213,0.0125
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196,-0.25
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.5,-1.9344,-0.35625
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.5,-5.8248,-0.35625
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724,0.1
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.5,-14.475,-0.35625
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0,56.2032,0.27
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0,8.0352,0.48
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0,4.172,0.28
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0,6.2031,0.29
